timestep,episode,reward,max_x_pos,flag_get,deaths,frames,time_left
10000,0,-77.0,39,0,0,111,278
10000,1,-77.0,39,0,0,111,278
10000,2,-77.0,39,0,0,111,278
10000,3,-77.0,39,0,0,111,278
10000,4,-77.0,39,0,0,111,278
20000,0,159.0,221,0,0,24,296
20000,1,159.0,221,0,0,24,296
20000,2,159.0,221,0,0,24,296
20000,3,159.0,221,0,0,24,296
20000,4,159.0,221,0,0,24,296
30000,0,496.0,563,0,0,49,291
30000,1,496.0,563,0,0,49,291
30000,2,496.0,563,0,0,49,291
30000,3,496.0,563,0,0,49,291
30000,4,496.0,563,0,0,49,291
40000,0,170.0,231,0,0,20,297
40000,1,170.0,231,0,0,20,297
40000,2,170.0,231,0,0,20,297
40000,3,170.0,231,0,0,20,297
40000,4,170.0,231,0,0,20,297
