timestep,episode,reward,max_x_pos,flag_get,deaths,frames,time_left
5000,0,137.0,198,0,0,19,397
5000,1,137.0,198,0,0,19,397
5000,2,137.0,198,0,0,19,397
5000,3,137.0,198,0,0,19,397
5000,4,137.0,198,0,0,19,397
10000,0,-30.0,40,0,0,80,385
10000,1,-30.0,40,0,0,80,385
10000,2,-30.0,40,0,0,80,385
10000,3,-30.0,40,0,0,80,385
10000,4,-30.0,40,0,0,80,385
15000,0,120.0,180,0,0,24,396
15000,1,120.0,180,0,0,24,396
15000,2,120.0,180,0,0,24,396
15000,3,120.0,180,0,0,24,396
15000,4,120.0,180,0,0,24,396
20000,0,-30.0,40,0,0,80,385
20000,1,-30.0,40,0,0,80,385
20000,2,-30.0,40,0,0,80,385
20000,3,-30.0,40,0,0,80,385
20000,4,-30.0,40,0,0,80,385
25000,0,137.0,198,0,0,19,397
25000,1,137.0,198,0,0,19,397
25000,2,137.0,198,0,0,19,397
25000,3,137.0,198,0,0,19,397
25000,4,137.0,198,0,0,19,397
30000,0,-30.0,40,0,0,80,385
30000,1,-30.0,40,0,0,80,385
30000,2,-30.0,40,0,0,80,385
30000,3,-30.0,40,0,0,80,385
30000,4,-30.0,40,0,0,80,385
35000,0,-30.0,40,0,0,80,385
35000,1,-30.0,40,0,0,80,385
35000,2,-30.0,40,0,0,80,385
35000,3,-30.0,40,0,0,80,385
35000,4,-30.0,40,0,0,80,385
40000,0,120.0,180,0,0,24,396
40000,1,120.0,180,0,0,24,396
40000,2,120.0,180,0,0,24,396
40000,3,120.0,180,0,0,24,396
40000,4,120.0,180,0,0,24,396
45000,0,137.0,198,0,0,19,397
45000,1,137.0,198,0,0,19,397
45000,2,137.0,198,0,0,19,397
45000,3,137.0,198,0,0,19,397
45000,4,137.0,198,0,0,19,397
50000,0,137.0,198,0,0,19,397
50000,1,137.0,198,0,0,19,397
50000,2,137.0,198,0,0,19,397
50000,3,137.0,198,0,0,19,397
50000,4,137.0,198,0,0,19,397
55000,0,137.0,198,0,0,19,397
55000,1,137.0,198,0,0,19,397
55000,2,137.0,198,0,0,19,397
55000,3,137.0,198,0,0,19,397
55000,4,137.0,198,0,0,19,397
60000,0,-58.0,39,0,0,90,383
60000,1,-58.0,39,0,0,90,383
60000,2,-58.0,39,0,0,90,383
60000,3,-58.0,39,0,0,90,383
60000,4,-58.0,39,0,0,90,383
65000,0,120.0,180,0,0,24,396
65000,1,120.0,180,0,0,24,396
65000,2,120.0,180,0,0,24,396
65000,3,120.0,180,0,0,24,396
65000,4,120.0,180,0,0,24,396
70000,0,120.0,180,0,0,24,396
70000,1,120.0,180,0,0,24,396
70000,2,120.0,180,0,0,24,396
70000,3,120.0,180,0,0,24,396
70000,4,120.0,180,0,0,24,396
75000,0,120.0,180,0,0,24,396
75000,1,120.0,180,0,0,24,396
75000,2,120.0,180,0,0,24,396
75000,3,120.0,180,0,0,24,396
75000,4,120.0,180,0,0,24,396
80000,0,-30.0,40,0,0,80,385
80000,1,-30.0,40,0,0,80,385
80000,2,-30.0,40,0,0,80,385
80000,3,-30.0,40,0,0,80,385
80000,4,-30.0,40,0,0,80,385
85000,0,-30.0,40,0,0,80,385
85000,1,-30.0,40,0,0,80,385
85000,2,-30.0,40,0,0,80,385
85000,3,-30.0,40,0,0,80,385
85000,4,-30.0,40,0,0,80,385
90000,0,120.0,180,0,0,24,396
90000,1,120.0,180,0,0,24,396
90000,2,120.0,180,0,0,24,396
90000,3,120.0,180,0,0,24,396
90000,4,120.0,180,0,0,24,396
95000,0,120.0,180,0,0,24,396
95000,1,120.0,180,0,0,24,396
95000,2,120.0,180,0,0,24,396
95000,3,120.0,180,0,0,24,396
95000,4,120.0,180,0,0,24,396
100000,0,120.0,180,0,0,24,396
100000,1,120.0,180,0,0,24,396
100000,2,120.0,180,0,0,24,396
100000,3,120.0,180,0,0,24,396
100000,4,120.0,180,0,0,24,396
105000,0,-30.0,40,0,0,80,385
105000,1,-30.0,40,0,0,80,385
105000,2,-30.0,40,0,0,80,385
105000,3,-30.0,40,0,0,80,385
105000,4,-30.0,40,0,0,80,385
110000,0,-30.0,40,0,0,80,385
110000,1,-30.0,40,0,0,80,385
110000,2,-30.0,40,0,0,80,385
110000,3,-30.0,40,0,0,80,385
110000,4,-30.0,40,0,0,80,385
115000,0,-30.0,40,0,0,80,385
115000,1,-30.0,40,0,0,80,385
115000,2,-30.0,40,0,0,80,385
115000,3,-30.0,40,0,0,80,385
115000,4,-30.0,40,0,0,80,385
120000,0,-30.0,40,0,0,80,385
120000,1,-30.0,40,0,0,80,385
120000,2,-30.0,40,0,0,80,385
120000,3,-30.0,40,0,0,80,385
120000,4,-30.0,40,0,0,80,385
125000,0,-30.0,40,0,0,80,385
125000,1,-30.0,40,0,0,80,385
125000,2,-30.0,40,0,0,80,385
125000,3,-30.0,40,0,0,80,385
125000,4,-30.0,40,0,0,80,385
130000,0,-30.0,40,0,0,80,385
130000,1,-30.0,40,0,0,80,385
130000,2,-30.0,40,0,0,80,385
130000,3,-30.0,40,0,0,80,385
130000,4,-30.0,40,0,0,80,385
135000,0,137.0,198,0,0,19,397
135000,1,137.0,198,0,0,19,397
135000,2,137.0,198,0,0,19,397
135000,3,137.0,198,0,0,19,397
135000,4,137.0,198,0,0,19,397
140000,0,120.0,180,0,0,24,396
140000,1,120.0,180,0,0,24,396
140000,2,120.0,180,0,0,24,396
140000,3,120.0,180,0,0,24,396
140000,4,120.0,180,0,0,24,396
145000,0,120.0,180,0,0,24,396
145000,1,120.0,180,0,0,24,396
145000,2,120.0,180,0,0,24,396
145000,3,120.0,180,0,0,24,396
145000,4,120.0,180,0,0,24,396
150000,0,120.0,180,0,0,24,396
150000,1,120.0,180,0,0,24,396
150000,2,120.0,180,0,0,24,396
150000,3,120.0,180,0,0,24,396
150000,4,120.0,180,0,0,24,396
155000,0,-165.0,290,0,0,2005,0
155000,1,-165.0,290,0,0,2005,0
155000,2,-165.0,290,0,0,2005,0
155000,3,-165.0,290,0,0,2005,0
155000,4,-165.0,290,0,0,2005,0
160000,0,137.0,198,0,0,19,397
160000,1,137.0,198,0,0,19,397
160000,2,137.0,198,0,0,19,397
160000,3,137.0,198,0,0,19,397
160000,4,137.0,198,0,0,19,397
165000,0,137.0,198,0,0,19,397
165000,1,137.0,198,0,0,19,397
165000,2,137.0,198,0,0,19,397
165000,3,137.0,198,0,0,19,397
165000,4,137.0,198,0,0,19,397
170000,0,137.0,198,0,0,19,397
