timestep,episode,reward,max_x_pos,flag_get,deaths,frames,time_left
5000,0,-33.0,40,0,0,95,282
5000,1,-33.0,40,0,0,95,282
5000,2,-33.0,40,0,0,95,282
5000,3,-33.0,40,0,0,95,282
5000,4,-33.0,40,0,0,95,282
10000,0,162.0,224,0,0,23,296
10000,1,162.0,224,0,0,23,296
10000,2,162.0,224,0,0,23,296
10000,3,162.0,224,0,0,23,296
10000,4,162.0,224,0,0,23,296
15000,0,-33.0,40,0,0,95,282
15000,1,-33.0,40,0,0,95,282
15000,2,-33.0,40,0,0,95,282
15000,3,-33.0,40,0,0,95,282
15000,4,-33.0,40,0,0,95,282
20000,0,-33.0,40,0,0,95,282
20000,1,-33.0,40,0,0,95,282
20000,2,-33.0,40,0,0,95,282
20000,3,-33.0,40,0,0,95,282
20000,4,-33.0,40,0,0,95,282
25000,0,162.0,224,0,0,23,296
25000,1,162.0,224,0,0,23,296
25000,2,162.0,224,0,0,23,296
25000,3,162.0,224,0,0,23,296
25000,4,162.0,224,0,0,23,296
30000,0,162.0,224,0,0,23,296
30000,1,162.0,224,0,0,23,296
30000,2,162.0,224,0,0,23,296
30000,3,162.0,224,0,0,23,296
30000,4,162.0,224,0,0,23,296
35000,0,-77.0,39,0,0,111,278
35000,1,-77.0,39,0,0,111,278
35000,2,-77.0,39,0,0,111,278
35000,3,-77.0,39,0,0,111,278
35000,4,-77.0,39,0,0,111,278
40000,0,147.0,208,0,0,28,295
40000,1,147.0,208,0,0,28,295
40000,2,147.0,208,0,0,28,295
40000,3,147.0,208,0,0,28,295
40000,4,147.0,208,0,0,28,295
45000,0,147.0,208,0,0,28,295
45000,1,147.0,208,0,0,28,295
45000,2,147.0,208,0,0,28,295
45000,3,147.0,208,0,0,28,295
45000,4,147.0,208,0,0,28,295
50000,0,-33.0,40,0,0,95,282
50000,1,-33.0,40,0,0,95,282
50000,2,-33.0,40,0,0,95,282
50000,3,-33.0,40,0,0,95,282
50000,4,-33.0,40,0,0,95,282
55000,0,268.0,334,0,0,40,292
55000,1,268.0,334,0,0,40,292
55000,2,268.0,334,0,0,40,292
55000,3,268.0,334,0,0,40,292
55000,4,268.0,334,0,0,40,292
60000,0,147.0,208,0,0,28,295
60000,1,147.0,208,0,0,28,295
60000,2,147.0,208,0,0,28,295
60000,3,147.0,208,0,0,28,295
