timestep,episode,reward,max_x_pos,flag_get,deaths,frames,time_left
10000,0,-455.0,39,0,0,2005,0
10000,1,-455.0,39,0,0,2005,0
10000,2,-455.0,39,0,0,2005,0
10000,3,-455.0,39,0,0,2005,0
10000,4,-455.0,39,0,0,2005,0
20000,0,250.0,314,0,0,33,394
20000,1,250.0,314,0,0,33,394
20000,2,250.0,314,0,0,33,394
20000,3,250.0,314,0,0,33,394
20000,4,250.0,314,0,0,33,394
30000,0,247.0,311,0,0,31,394
30000,1,247.0,311,0,0,31,394
30000,2,247.0,311,0,0,31,394
30000,3,247.0,311,0,0,31,394
30000,4,247.0,311,0,0,31,394
40000,0,622.0,693,0,0,68,387
40000,1,622.0,693,0,0,68,387
40000,2,622.0,693,0,0,68,387
40000,3,622.0,693,0,0,68,387
40000,4,622.0,693,0,0,68,387
50000,0,246.0,310,0,0,35,394
50000,1,246.0,310,0,0,35,394
50000,2,246.0,310,0,0,35,394
50000,3,246.0,310,0,0,35,394
50000,4,246.0,310,0,0,35,394
60000,0,251.0,315,0,0,32,394
60000,1,251.0,315,0,0,32,394
60000,2,251.0,315,0,0,32,394
60000,3,251.0,315,0,0,32,394
60000,4,251.0,315,0,0,32,394
70000,0,252.0,316,0,0,32,394
70000,1,252.0,316,0,0,32,394
70000,2,252.0,316,0,0,32,394
70000,3,252.0,316,0,0,32,394
70000,4,252.0,316,0,0,32,394
80000,0,267.0,722,0,0,2005,0
80000,1,267.0,722,0,0,2005,0
80000,2,267.0,722,0,0,2005,0
80000,3,267.0,722,0,0,2005,0
80000,4,267.0,722,0,0,2005,0
90000,0,603.0,676,0,0,79,385
90000,1,603.0,676,0,0,79,385
90000,2,603.0,676,0,0,79,385
90000,3,603.0,676,0,0,79,385
90000,4,603.0,676,0,0,79,385
100000,0,-21.0,434,0,0,2005,0
100000,1,-21.0,434,0,0,2005,0
100000,2,-21.0,434,0,0,2005,0
100000,3,-21.0,434,0,0,2005,0
100000,4,-21.0,434,0,0,2005,0
110000,0,250.0,314,0,0,31,394
110000,1,250.0,314,0,0,31,394
110000,2,250.0,314,0,0,31,394
110000,3,250.0,314,0,0,31,394
110000,4,250.0,314,0,0,31,394
120000,0,251.0,315,0,0,32,394
120000,1,251.0,315,0,0,32,394
120000,2,251.0,315,0,0,32,394
120000,3,251.0,315,0,0,32,394
