algo,stage,R_final_median,R_final_iqr,AUC_median,t80_median,sigma_final_median
DQN,1-1,373.3333333333333,503.24999999999994,390.23,130000.0,187.39228016827872
DQN,1-2,493.3333333333333,199.33333333333331,477.26,200000.0,391.7038422073493
DQN,4-1,762.1666666666666,230.0,491.82,110000.0,637.6994328574134
DQN,8-1,187.0,0.0,175.375,30000.0,235.40744819709224
