algo,stage,tau_median,d_bar_median,deaths_median,time_median
DQN,1-1,0.0,0.20881812614819353,0.0,
DQN,1-2,0.0,0.2743417023882425,0.0,
DQN,4-1,0.0,0.08820486290739783,0.0,
DQN,8-1,0.0,0.07072872014696877,0.0,
