nohup: ignoring input
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
Python : 3.10.18
PyTorch: 2.4.1+cu121 | CUDA: True
GPU    : NVIDIA GeForce RTX 4070 Laptop GPU
VRAM   : 8.2 GB

Profile         : full
Algos           : ['PPO']
Stages          : ['1-1', '1-2', '4-1', '8-1']
Seeds           : [42, 123, 2024]
Total timesteps : 500,000
Total treinos   : 12
Reward shaping  : não
Output em       : /home/murilo/Documents/academico/unesp_cc/repos/unesp-paper-deep-reinforcement-learning-platform-2d-games/mario_drl_results


======================================================================
[1/12] PPO | stage 1-1 | seed 42
======================================================================

► [PPO_stage1-1_seed42] treinando (500,000 timesteps restantes, n_envs=8)
  [eval @ 350,000] reward= +252.00± 0.00  completion=0%  max_x_avg=315
  [eval @ 355,000] reward= +252.00± 0.00  completion=0%  max_x_avg=315
  [eval @ 360,000] reward= +252.00± 0.00  completion=0%  max_x_avg=315
  [eval @ 365,000] reward= +238.00± 0.00  completion=0%  max_x_avg=300
  [eval @ 370,000] reward= +139.00± 0.00  completion=0%  max_x_avg=594
  [eval @ 375,000] reward= -415.00± 0.00  completion=0%  max_x_avg=40
  [eval @ 380,000] reward= -415.00± 0.00  completion=0%  max_x_avg=40
  [eval @ 385,000] reward= -415.00± 0.00  completion=0%  max_x_avg=40
  [eval @ 390,000] reward=  -21.00± 0.00  completion=0%  max_x_avg=434
  [eval @ 395,000] reward= +109.00± 0.00  completion=0%  max_x_avg=564
  [eval @ 400,000] reward= +221.00± 0.00  completion=0%  max_x_avg=284
  [eval @ 405,000] reward=  -47.00± 0.00  completion=0%  max_x_avg=408
  [eval @ 410,000] reward= +250.00± 0.00  completion=0%  max_x_avg=314
